City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,bardai,11.65,7.2333,35.85,18,100,3.14,NG,1682097585
125,at taj,24.2049,23.2857,26.93,11,0,2.03,LY,1682097585
126,island harbour,50.724,-1.2758,11.29,74,48,0.89,GB,1682097585
127,san ignacio rio muerto,27.4167,-110.2333,26.29,9,2,2.58,MX,1682097585
128,necochea,-38.5473,-58.7368,20.97,36,100,8.1,AR,1682097320
129,sao miguel do araguaia,-13.275,-50.1628,30.15,62,6,2.66,BR,1682097586
130,vradiyivka,47.862,30.5919,7.63,89,100,5.99,UA,1682097586
131,port lincoln,-34.7333,135.8667,15.89,81,0,3.09,AU,1682097586
132,burang,30.25,81.1667,-9.93,97,85,1.49,CN,1682097586
133,zhangjiakou,40.81,114.8794,7.32,59,100,2.87,CN,1682097586
134,iqaluit,63.7506,-68.5145,-2.15,92,100,5.66,CA,1682097586
135,la passe,45.5549,-0.8967,20.13,63,100,4.88,FR,1682097587
136,chibougamau,49.9168,-74.3659,2.79,56,100,4.12,CA,1682097587
137,minas de marcona,-15.2119,-75.1103,21.24,63,92,5.88,PE,1682097587
138,kristiansund,63.1115,7.732,14.03,43,0,1.03,NO,1682097587
139,madang,-5.2246,145.7966,25.4,90,81,0.94,PG,1682097587
140,papatowai,-46.5619,169.4708,11.18,88,69,2.29,NZ,1682097588
141,babu,24.4167,111.5167,23.05,97,12,1.48,CN,1682097588
142,happy valley-goose bay,53.3168,-60.3315,4.17,60,75,6.17,CA,1682097588
143,mount gambier,-37.8333,140.7667,11.7,90,38,1.47,AU,1682097588
144,edson,53.5835,-116.4356,0.08,64,100,4.12,CA,1682097588
145,bethel,41.3712,-73.414,22.97,44,0,5.14,US,1682097561
146,kinwat,19.6333,78.2,30.75,36,36,1.69,IN,1682097589
147,rio grande,-32.035,-52.0986,25.06,56,47,4.76,BR,1682097589
148,pisco,-13.7,-76.2167,24.03,73,82,4.12,PE,1682097589
149,albany,42.6001,-73.9662,24.29,37,44,2.68,US,1682097569
150,mumford,5.2618,-0.759,28.53,78,94,6.89,GH,1682097493
151,comodoro rivadavia,-45.8667,-67.5,13.92,51,20,8.75,AR,1682097589
152,isafjordur,66.0755,-23.124,1.02,64,75,5.14,IS,1682097589
153,tikamgarh,24.745,78.8333,29.68,13,46,2.95,IN,1682097590
154,mundemba,4.9479,8.8724,26.83,78,91,2.76,CM,1682097590
155,ojiya,37.3,138.8,6.75,70,78,1.52,JP,1682097590
156,prainha,-1.8,-53.48,31.35,57,78,1.89,BR,1682097590
157,saipan,15.1355,145.701,27.39,100,40,7.2,MP,1682097590
158,uturoa,-16.7333,-151.4333,28.27,77,100,7.23,PF,1682097590
159,la mira,18.035,-102.3266,29.88,53,11,4.13,MX,1682097591
160,cedeira,43.6797,-8.0209,13.87,79,100,9.4,ES,1682097591
161,sokoni,-6.4333,39.55,27.29,83,100,6.71,TZ,1682097591
162,calvinia,-31.4707,19.776,15.14,23,99,1.89,ZA,1682097591
163,iranshahr,27.2025,60.6848,30.19,20,0,2.06,IR,1682097591
164,bredasdorp,-34.5322,20.0403,13.31,58,100,1.92,ZA,1682097591
165,yuzhno-kurilsk,44.0306,145.8556,3.63,70,12,8.5,RU,1682097592
166,bel ombre,-4.6167,55.4167,28.91,74,20,1.54,SC,1682097592
167,as sulayyil,20.4607,45.5779,25.14,56,90,4.27,SA,1682097592
168,san luis de la loma,17.2706,-100.8939,30.64,47,4,4.72,MX,1682097592
169,gizo,-8.103,156.8419,27.27,78,60,1.9,SB,1682097592
170,bairnsdale,-37.8333,147.6167,12.81,92,11,1.87,AU,1682097592
171,nabire,-3.3667,135.4833,24.6,92,67,1.62,ID,1682097592
